Original_Reward,PPO_Reward
-191.0,-87.0
-286.0,-70.0
-252.0,-77.0
-420.0,-70.0
-412.0,-83.0
-242.0,-70.0
-297.0,-107.0
-500.0,-62.0
-291.0,-82.0
-265.0,-71.0
-382.0,-63.0
-342.0,-91.0
-500.0,-71.0
-498.0,-75.0
-271.0,-70.0
-450.0,-88.0
-500.0,-125.0
-210.0,-69.0
-220.0,-114.0
-206.0,-101.0
-500.0,-82.0
-430.0,-70.0
-433.0,-63.0
-362.0,-63.0
-500.0,-79.0
-270.0,-70.0
-462.0,-85.0
-363.0,-70.0
-390.0,-71.0
-344.0,-63.0
-399.0,-69.0
-280.0,-93.0
-279.0,-71.0
-235.0,-82.0
-279.0,-86.0
-500.0,-63.0
-471.0,-75.0
-220.0,-70.0
-272.0,-70.0
-500.0,-75.0
-325.0,-83.0
-344.0,-91.0
-430.0,-73.0
-483.0,-77.0
-412.0,-78.0
-500.0,-62.0
-260.0,-87.0
-308.0,-69.0
-256.0,-62.0
-254.0,-91.0
-444.0,-82.0
-355.0,-76.0
-245.0,-70.0
-334.0,-62.0
-207.0,-63.0
-500.0,-91.0
-267.0,-76.0
-363.0,-71.0
-328.0,-227.0
-500.0,-70.0
-226.0,-163.0
-358.0,-76.0
-302.0,-93.0
-287.0,-70.0
-246.0,-69.0
-500.0,-62.0
-350.0,-84.0
-500.0,-71.0
-361.0,-82.0
-222.0,-70.0
-500.0,-63.0
-495.0,-107.0
-230.0,-94.0
-235.0,-70.0
-301.0,-91.0
-335.0,-80.0
-500.0,-62.0
-278.0,-187.0
-303.0,-74.0
-353.0,-63.0
-236.0,-140.0
-293.0,-78.0
-319.0,-70.0
-500.0,-83.0
-274.0,-106.0
-239.0,-70.0
-500.0,-70.0
-295.0,-77.0
-500.0,-73.0
-291.0,-88.0
-171.0,-63.0
-490.0,-72.0
-459.0,-71.0
-260.0,-79.0
-357.0,-89.0
-302.0,-62.0
-306.0,-87.0
-238.0,-78.0
-500.0,-70.0
-360.0,-70.0
-270.0,-97.0
-500.0,-77.0
-353.0,-63.0
-500.0,-74.0
-230.0,-92.0
-185.0,-70.0
-466.0,-82.0
-297.0,-63.0
-278.0,-86.0
-500.0,-71.0
-359.0,-89.0
-476.0,-70.0
-500.0,-107.0
-372.0,-76.0
-420.0,-82.0
-328.0,-70.0
-211.0,-83.0
-358.0,-70.0
-362.0,-161.0
-260.0,-62.0
-299.0,-137.0
-500.0,-70.0
-468.0,-102.0
-193.0,-84.0
-204.0,-87.0
-358.0,-88.0
-309.0,-77.0
-305.0,-63.0
-383.0,-97.0
-303.0,-78.0
-172.0,-154.0
-221.0,-112.0
-500.0,-71.0
-500.0,-79.0
-257.0,-148.0
-221.0,-74.0
-234.0,-70.0
-271.0,-70.0
-287.0,-86.0
-441.0,-87.0
-188.0,-63.0
-500.0,-86.0
-500.0,-71.0
-310.0,-77.0
-209.0,-85.0
-317.0,-71.0
-371.0,-84.0
-265.0,-213.0
-273.0,-69.0
-500.0,-89.0
-500.0,-63.0
-500.0,-70.0
-500.0,-75.0
-224.0,-86.0
-298.0,-63.0
-500.0,-85.0
-500.0,-85.0
-243.0,-79.0
-500.0,-76.0
-500.0,-88.0
-500.0,-112.0
-368.0,-70.0
-446.0,-82.0
-299.0,-62.0
-334.0,-63.0
-500.0,-61.0
-257.0,-76.0
-273.0,-71.0
-371.0,-82.0
-355.0,-71.0
-197.0,-77.0
-310.0,-63.0
-214.0,-96.0
-455.0,-63.0
-398.0,-85.0
-238.0,-70.0
-500.0,-62.0
-270.0,-63.0
-321.0,-87.0
-500.0,-169.0
-288.0,-70.0
-500.0,-63.0
-357.0,-63.0
-482.0,-69.0
-341.0,-71.0
-274.0,-85.0
-500.0,-147.0
-477.0,-63.0
-500.0,-70.0
-317.0,-86.0
-327.0,-74.0
-443.0,-63.0
-296.0,-70.0
-320.0,-97.0
-500.0,-78.0
-500.0,-120.0
-414.0,-71.0
-202.0,-62.0
-242.0,-62.0
-190.0,-62.0
-343.0,-69.0
-346.0,-165.0
-401.0,-78.0
-288.0,-82.0
-265.0,-71.0
-453.0,-86.0
-500.0,-70.0
-313.0,-88.0
-228.0,-83.0
-500.0,-75.0
-253.0,-106.0
-304.0,-83.0
-271.0,-77.0
-216.0,-75.0
-277.0,-87.0
-255.0,-137.0
-267.0,-78.0
-281.0,-87.0
-500.0,-288.0
-451.0,-88.0
-401.0,-91.0
-333.0,-145.0
-500.0,-77.0
-340.0,-70.0
-268.0,-154.0
-500.0,-93.0
-260.0,-70.0
-500.0,-70.0
-389.0,-79.0
-306.0,-72.0
-298.0,-101.0
