Original_Reward,PPO_Reward
-500.0,-70.0
-500.0,-86.0
-500.0,-77.0
-500.0,-63.0
-500.0,-69.0
-500.0,-69.0
-500.0,-153.0
-500.0,-87.0
-500.0,-75.0
-500.0,-75.0
-500.0,-88.0
-500.0,-70.0
-500.0,-89.0
-500.0,-70.0
-500.0,-200.0
-500.0,-95.0
-500.0,-75.0
-500.0,-71.0
-500.0,-79.0
-500.0,-500.0
-500.0,-90.0
-500.0,-76.0
-500.0,-110.0
-500.0,-70.0
-500.0,-76.0
-500.0,-70.0
-500.0,-63.0
-500.0,-127.0
-500.0,-89.0
-500.0,-79.0
-500.0,-83.0
-500.0,-74.0
-500.0,-186.0
-500.0,-84.0
-500.0,-76.0
-500.0,-91.0
-500.0,-70.0
-500.0,-70.0
-500.0,-87.0
-500.0,-83.0
-500.0,-70.0
-500.0,-136.0
-500.0,-102.0
-500.0,-82.0
-500.0,-70.0
-500.0,-83.0
-500.0,-71.0
-500.0,-94.0
-500.0,-174.0
-500.0,-71.0
-500.0,-131.0
-500.0,-70.0
-500.0,-81.0
-500.0,-80.0
-500.0,-75.0
-500.0,-82.0
-500.0,-71.0
-500.0,-69.0
-500.0,-86.0
-500.0,-69.0
-500.0,-107.0
-500.0,-97.0
-500.0,-63.0
-500.0,-85.0
-500.0,-70.0
-500.0,-87.0
-500.0,-82.0
-500.0,-62.0
-500.0,-75.0
-500.0,-62.0
-500.0,-84.0
-500.0,-77.0
-500.0,-63.0
-500.0,-84.0
-500.0,-74.0
-500.0,-70.0
-500.0,-70.0
-500.0,-70.0
-500.0,-75.0
-500.0,-73.0
-500.0,-71.0
-500.0,-86.0
-500.0,-104.0
-500.0,-78.0
-500.0,-83.0
-500.0,-72.0
-500.0,-130.0
-500.0,-80.0
-500.0,-74.0
-500.0,-81.0
-500.0,-72.0
-500.0,-70.0
-500.0,-85.0
-500.0,-76.0
-500.0,-72.0
-500.0,-77.0
-500.0,-98.0
-500.0,-63.0
-500.0,-87.0
-500.0,-75.0
-500.0,-63.0
-500.0,-62.0
-500.0,-89.0
-500.0,-98.0
-500.0,-63.0
-500.0,-62.0
-500.0,-88.0
-500.0,-62.0
-500.0,-75.0
-500.0,-86.0
-500.0,-75.0
-500.0,-114.0
-500.0,-80.0
-500.0,-88.0
-500.0,-61.0
-500.0,-71.0
-500.0,-163.0
-500.0,-87.0
-500.0,-86.0
-500.0,-79.0
-500.0,-72.0
-500.0,-77.0
-500.0,-70.0
-500.0,-70.0
-500.0,-70.0
-500.0,-124.0
-500.0,-82.0
-500.0,-77.0
-500.0,-82.0
-500.0,-70.0
-500.0,-63.0
-500.0,-78.0
-500.0,-87.0
-500.0,-76.0
-500.0,-85.0
-500.0,-75.0
-500.0,-70.0
-500.0,-84.0
-500.0,-73.0
-500.0,-87.0
-500.0,-62.0
-500.0,-106.0
-500.0,-81.0
-500.0,-70.0
-500.0,-61.0
-500.0,-70.0
-500.0,-70.0
-500.0,-71.0
-500.0,-68.0
-500.0,-71.0
-500.0,-62.0
-500.0,-71.0
-500.0,-70.0
-500.0,-84.0
-500.0,-87.0
-500.0,-70.0
-500.0,-70.0
-500.0,-70.0
-500.0,-69.0
-500.0,-70.0
-500.0,-107.0
-500.0,-82.0
-500.0,-62.0
-500.0,-75.0
-500.0,-84.0
-500.0,-70.0
-500.0,-78.0
-500.0,-85.0
-500.0,-110.0
-500.0,-70.0
-500.0,-70.0
-500.0,-69.0
-500.0,-63.0
-500.0,-77.0
-500.0,-75.0
-500.0,-95.0
-500.0,-140.0
-500.0,-82.0
-500.0,-75.0
-500.0,-63.0
-500.0,-71.0
-500.0,-83.0
-500.0,-77.0
-500.0,-76.0
-500.0,-82.0
-500.0,-82.0
-500.0,-88.0
-500.0,-70.0
-500.0,-72.0
-500.0,-89.0
-500.0,-78.0
-500.0,-63.0
-500.0,-71.0
-500.0,-70.0
-500.0,-92.0
-500.0,-69.0
-500.0,-70.0
-500.0,-90.0
-500.0,-153.0
-500.0,-107.0
-500.0,-63.0
-500.0,-75.0
-500.0,-85.0
-500.0,-77.0
-500.0,-71.0
-500.0,-82.0
-500.0,-86.0
-500.0,-89.0
-500.0,-82.0
-500.0,-69.0
-500.0,-86.0
-500.0,-70.0
-500.0,-70.0
-500.0,-70.0
